,name,site_link
0,"
 저항밴드 운동 루틴프로그램
                ",/entry.naver?docId=3535305&categoryId=58501&cid=58501
1,"
 웨이트 트레이닝 루틴프로그램
                ",/entry.naver?docId=3535306&categoryId=58501&cid=58501
2,"
 맨몸운동 루틴프로그램
                ",/entry.naver?docId=3535307&categoryId=58501&cid=58501
3,"
 앉았다 일어서며 팔 들어올리기
                ",/entry.naver?docId=3535308&categoryId=58501&cid=58501
4,"
 런지하며 상체 비틀기
                ",/entry.naver?docId=3535309&categoryId=58501&cid=58501
5,"
 팔 들어 올리며 런지
                ",/entry.naver?docId=3535310&categoryId=58501&cid=58501
6,"
 한 발 뒤로 들어올리기
                ",/entry.naver?docId=3535311&categoryId=58501&cid=58501
7,"
 다리 감아올리기
                ",/entry.naver?docId=3535312&categoryId=58501&cid=58501
8,"
 상체 감아올리기
                ",/entry.naver?docId=3535313&categoryId=58501&cid=58501
9,"
 발에 밴드걸고 윗몸일으키기
                ",/entry.naver?docId=3535314&categoryId=58501&cid=58501
10,"
 옆으로 굽히기
                ",/entry.naver?docId=3535315&categoryId=58501&cid=58501
11,"
 한 발 끌어당기기
                ",/entry.naver?docId=3535316&categoryId=58501&cid=58501
12,"
 한 발 들어올리기
                ",/entry.naver?docId=3535317&categoryId=58501&cid=58501
13,"
 앉아서 무릎 굽히기
                ",/entry.naver?docId=3535318&categoryId=58501&cid=58501
14,"
 앉아서 다리 올리기
                ",/entry.naver?docId=3535319&categoryId=58501&cid=58501
15,"
 뒤로 팔 뻗기
                ",/entry.naver?docId=3535320&categoryId=58501&cid=58501
16,"
 양팔 크게 벌리기
                ",/entry.naver?docId=3535321&categoryId=58501&cid=58501
17,"
 팔꿈치 고정 후 벌리기
                ",/entry.naver?docId=3535322&categoryId=58501&cid=58501
18,"
 앉았다 일어서기
                ",/entry.naver?docId=3535323&categoryId=58501&cid=58501
19,"
 앉아서 몸통 움츠리기
                ",/entry.naver?docId=3535324&categoryId=58501&cid=58501
20,"
 몸통 옆으로 굽히기
                ",/entry.naver?docId=3535325&categoryId=58501&cid=58501
21,"
 앉아서 다리 펴기
                ",/entry.naver?docId=3535326&categoryId=58501&cid=58501
22,"
 누워서 다리 굽히기
                ",/entry.naver?docId=3535327&categoryId=58501&cid=58501
23,"
 다리 넓게 벌려 앉았다 일어서기
                ",/entry.naver?docId=3535328&categoryId=58501&cid=58501
24,"
 앉아서 당겨 내리기
                ",/entry.naver?docId=3535329&categoryId=58501&cid=58501
25,"
 앉아서 양팔 당기기
                ",/entry.naver?docId=3535330&categoryId=58501&cid=58501
26,"
 앉아서 가슴 모으기
                ",/entry.naver?docId=3535331&categoryId=58501&cid=58501
27,"
 누워서 팔 밀기
                ",/entry.naver?docId=3535332&categoryId=58501&cid=58501
28,"
 크런치 사이클
                ",/entry.naver?docId=3535333&categoryId=58501&cid=58501
29,"
 버피 테스트
                ",/entry.naver?docId=3535334&categoryId=58501&cid=58501
30,"
 발 바꿔 뛰기
                ",/entry.naver?docId=3535335&categoryId=58501&cid=58501
31,"
 몸통 들어올리기
                ",/entry.naver?docId=3535336&categoryId=58501&cid=58501
32,"
 팔다리 교차 버티기
                ",/entry.naver?docId=3535337&categoryId=58501&cid=58501
33,"
 엎드려 팔다리 교차올리기
                ",/entry.naver?docId=3535338&categoryId=58501&cid=58501
34,"
 연속 사이드 스쿼트
                ",/entry.naver?docId=3535339&categoryId=58501&cid=58501
35,"
 앞굽이 앉았다 일어서기
                ",/entry.naver?docId=3535340&categoryId=58501&cid=58501
36,"
 앉았다 일어서기
                ",/entry.naver?docId=3535341&categoryId=58501&cid=58501
37,"
 다리 뻗어 올리기
                ",/entry.naver?docId=3535342&categoryId=58501&cid=58501
38,"
 누워 무릎 기울기
                ",/entry.naver?docId=3535343&categoryId=58501&cid=58501
39,"
 손 뻗어 윗몸 일으키기
                ",/entry.naver?docId=3535344&categoryId=58501&cid=58501
40,"
 윗몸 일으키기
                ",/entry.naver?docId=3535345&categoryId=58501&cid=58501
41,"
 전완대고 버티기
                ",/entry.naver?docId=3535346&categoryId=58501&cid=58501
42,"
 V자 싸이클
                ",/entry.naver?docId=3535347&categoryId=58501&cid=58501
43,"
 의자에 앉아 물병 들고 몸통 돌리기
                ",/entry.naver?docId=3535348&categoryId=58501&cid=58501
44,"
 누워 다리 들어올리기
                ",/entry.naver?docId=3535349&categoryId=58501&cid=58501
45,"
 바로서서 상체 숙이기
                ",/entry.naver?docId=3535350&categoryId=58501&cid=58501
46,"
 뒤로 팔굽혀펴기
                ",/entry.naver?docId=3535351&categoryId=58501&cid=58501
47,"
 팔굽혀 펴기
                ",/entry.naver?docId=3535352&categoryId=58501&cid=58501
48,"
 수영
                ",/entry.naver?docId=3535354&categoryId=58501&cid=58501
49,"
 줄넘기 운동
                ",/entry.naver?docId=3535355&categoryId=58501&cid=58501
50,"
 자전거타기
                ",/entry.naver?docId=3535356&categoryId=58501&cid=58501
51,"
 조깅
                ",/entry.naver?docId=3535357&categoryId=58501&cid=58501
52,"
 걷기
                ",/entry.naver?docId=3535358&categoryId=58501&cid=58501
53,"
 콘운동 루틴프로그램
                ",/entry.naver?docId=3535360&categoryId=58501&cid=58501
54,"
 사다리 운동 루틴프로그램
                ",/entry.naver?docId=3535361&categoryId=58501&cid=58501
55,"
 박스 운동 루틴프로그램
                ",/entry.naver?docId=3535362&categoryId=58501&cid=58501
56,"
 바운딩 운동 루틴프로그램
                ",/entry.naver?docId=3535363&categoryId=58501&cid=58501
57,"
 팔굽혀펴기 후 점프하기
                ",/entry.naver?docId=3535364&categoryId=58501&cid=58501
58,"
 좌우 이동하며 팔굽혀펴기
                ",/entry.naver?docId=3535365&categoryId=58501&cid=58501
59,"
 연속 상향 점프하기
                ",/entry.naver?docId=3535366&categoryId=58501&cid=58501
60,"
 한발로 점프하기
                ",/entry.naver?docId=3535367&categoryId=58501&cid=58501
61,"
 좌우 양발모아 점프하기
                ",/entry.naver?docId=3535368&categoryId=58501&cid=58501
62,"
 연속 하향 점프하기
                ",/entry.naver?docId=3535369&categoryId=58501&cid=58501
